idspec,idproducto,valor
261,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,AM5
64,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,Serie Ryzen 7000 / Serie Ryzen 8000 / Serie Ryzen 9000
284,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,AMD B650
237,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,4x288 pines (DDR5)
163,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,Soporte de memoria DDR5 6000 + (OC) / 5800 (OC) / 5600 (OC) / 5400 (OC) / 5200 (OC) / 5000 (OC) / 4800 (JEDEC) MHzMax. frecuencia de overclocking:1DPC 1R Velocidad máxima hasta 6000+ MHz1DPC 2R Velocidad máxima hasta 6000+ MHz2DPC 1R Velocidad máxima hasta 6000+ MHz2DPC 2R Velocidad máxima hasta 5400+ MHz
25,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,192 GRAMOS
228,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,Doble canal
66,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,No ECC
197,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,Sin búfer
189,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,Compatible con AMD EXPO
140,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,2x PCI-E x16 slotPCI_E1 PCIe 4.0 de  admite hasta x16 (desde la CPU)PCI_E3 PCIe 4.0 de generación admite hasta x4 (desde el chipset)
42,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,1x PCI-E x1 PCIe 3.0 de slotPCI_E2 generación admite hasta x1 (desde el chipset)
229,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,4 x SATA de 6 Gb/s
255,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,"2x M.2M.2_1 fuente (desde la CPU) admite hasta PCIe 4.0 x4 , admite 22110/2280 devicesM.2_2 fuente (desde la CPU) admite hasta PCIe 4.0 x4 , admite dispositivos 2280/2260"
34,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,Códec Realtek ALC897Audio de alta definición de 7.1 canales
76,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,7.1 Canales
1,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,Realtek 8125BG 2.5G LAN
127,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,"2,5 Gbps"
97,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,"AMD Wi-Fi 6ETEl módulo inalámbrico está preinstalado en la ranura M.2 (Key-E)Admite MU-MIMO TX/RXSporta ancho de banda de 20 MHz, 40 MHz, 80 MHz en bandas de 2,4 GHz/ 5 GHz o 6 GHz*Admite 802.11 a/ b/ g/ n/ ac/ ax* Wi-Fi 6E de 6 GHz puede depender de las regulaciones de cada país y estará listo en Windows 11."
267,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,Compatible con Bluetooth 5.3**** Bluetooth 5.3 estará listo en Windows 10 build 21H1 y Windows 11.
317,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,1 x DisplayPort / 1 x Botón Flash BIOS / 1 x HDMI / 1 x LAN (RJ45) / 1 x USB 3.2 Gen 2x2 Tipo-C / 2 x Soporte de antena / 3 x USB 3.2 Gen 2 Tipo-A / 4 x USB 3.2 Gen 1 Tipo-A / 6 x Conectores de audio
251,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,4 puertos USB 2.02 puertos USB 3.2 Gen1 tipo A1 puertos USB 3.2 Gen2 tipo C
21,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,1x Conector de alimentación(ATX_PWR)2x Conector de alimentación(CPU_PWR)1x Ventilador de CPU1x Ventilador de bomba4x Ventilador de sistema2x Panel frontal (JFP)1x Intrusión de chasis (JCI)1x Audio frontal (JAUD)1x Puerto Com (JCOM)1x Conector de controlador de sintonización(JDASH)2x Conector LED V2 RGB direccionable (JARGB_V2)2x Conector LED RGB (JRGB)1x Cabezal de pin TPM (compatible con TPM 2.0)
138,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,ATX
368,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,"12.0"" x 9.6"""
268,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,Soportado
291,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,03 de julio de 2023
270,0ae910ee-3b72-4545-8b5d-2ae5fd4b165c,PA-Y20S
292,0ae910ee-3b72-4545-8b5d-2ae5fd4b165c,Cargador de pared
11,0ae910ee-3b72-4545-8b5d-2ae5fd4b165c,Universal
221,0ae910ee-3b72-4545-8b5d-2ae5fd4b165c,Negro
173,0ae910ee-3b72-4545-8b5d-2ae5fd4b165c,USB tipo C
124,0ae910ee-3b72-4545-8b5d-2ae5fd4b165c,20W
185,0ae910ee-3b72-4545-8b5d-2ae5fd4b165c,"[Carga de alta velocidad]: Cargue rápidamente su iPhone 13 / 13 Pro / 13 Pro Max (compatible con iPhone 11, 12 y 13), Google Pixel 2 / 2 XL 3 / 3 XL u otros dispositivos USB-C compatibles que admitan USB Power Delivery[USB Power Delivery]: Tecnología de carga rápida de próxima generación y preparada para el futuro que carga su teléfono o tableta USB tipo C a una velocidad de hasta 20 W[Seguro y confiable]:  Las protecciones incorporadas protegen sus dispositivos contra la corriente excesiva, el sobrecalentamiento y la sobrecarga [Compacto y portátil]: El factor de forma extremadamente compacto y el enchufe plegable garantizan la máxima portabilidad dondequiera que vaya. Práctico para el hogar, la oficina y las vacaciones[Contenido del paquete] : Cargador de pared AUKEY PA-Y20S USB C con suministro de energía de 20 W PD 3.0, Manual del usuario"
291,0ae910ee-3b72-4545-8b5d-2ae5fd4b165c,16 de noviembre de 2022
231,235eff75-11a2-4050-a82f-17514d662595,Escritorio
98,235eff75-11a2-4050-a82f-17514d662595,Core i7 de 12.ª generación
126,235eff75-11a2-4050-a82f-17514d662595,Núcleo i7-12700K
270,235eff75-11a2-4050-a82f-17514d662595,BX8071512700K
261,235eff75-11a2-4050-a82f-17514d662595,LGA 1700
363,235eff75-11a2-4050-a82f-17514d662595,Lago de aliso
72,235eff75-11a2-4050-a82f-17514d662595,12 núcleos (8P+4E)
300,235eff75-11a2-4050-a82f-17514d662595,20 hilos
226,235eff75-11a2-4050-a82f-17514d662595,"Frecuencia base del núcleo P: 3,6 GHzFrecuencia base del núcleo E: 2,7 GHz"
69,235eff75-11a2-4050-a82f-17514d662595,"Tecnología Intel Turbo Boost Max 3.0 Frecuencia: Hasta 5,0 GHzFrecuencia Turbo de un solo núcleo P: hasta 4,9 GHzFrecuencia Turbo de un solo núcleo E: hasta 3,8 GHz"
122,235eff75-11a2-4050-a82f-17514d662595,12 MB
67,235eff75-11a2-4050-a82f-17514d662595,25 MB
348,235eff75-11a2-4050-a82f-17514d662595,Intel 7
323,235eff75-11a2-4050-a82f-17514d662595,Sí
176,235eff75-11a2-4050-a82f-17514d662595,Sí
302,235eff75-11a2-4050-a82f-17514d662595,DDR4 3200 / DDR5 4800
242,235eff75-11a2-4050-a82f-17514d662595,Dos
212,235eff75-11a2-4050-a82f-17514d662595,128 GB
134,235eff75-11a2-4050-a82f-17514d662595,Soportado
289,235eff75-11a2-4050-a82f-17514d662595,"76,8 GB/s"
217,235eff75-11a2-4050-a82f-17514d662595,Sí
93,235eff75-11a2-4050-a82f-17514d662595,Gráficos Intel UHD 770
166,235eff75-11a2-4050-a82f-17514d662595,300 MHz
132,235eff75-11a2-4050-a82f-17514d662595,"1,50 GHz"
144,235eff75-11a2-4050-a82f-17514d662595,5.0 / 4.0 / 3.0
110,235eff75-11a2-4050-a82f-17514d662595,"Hasta 1x16+4, 2x8+4"
94,235eff75-11a2-4050-a82f-17514d662595,Potencia base del procesador: 125WMaxuma potencia turbo:
296,235eff75-11a2-4050-a82f-17514d662595,Dispositivo de enfriamiento no incluido - Solo procesador
223,235eff75-11a2-4050-a82f-17514d662595,Windows 11
291,235eff75-11a2-4050-a82f-17514d662595,02 de diciembre de 2021
270,e69a0e06-15e6-4089-a39a-341048e45cce,AS5-3.5G
273,e69a0e06-15e6-4089-a39a-341048e45cce,"3,5 g"
152,e69a0e06-15e6-4089-a39a-341048e45cce,De -50 a 130 C
287,e69a0e06-15e6-4089-a39a-341048e45cce,"Tamaño promedio de partícula:< 0.49 micras < 0.000020 pulgadasLímites de temperatura extendidos:Pico: -50 grados Celsius a >180 grados Celsius A largo plazo: -50 grados Celsius a 130 grados CelsiusRendimiento:3 a 12 grados centígrados temperaturas del núcleo de carga completa de la CPU más bajas que los compuestos térmicos estándar o las almohadillas térmicas cuando se miden con un diodo térmico calibrado incrustado en el núcleo de la CPU. Área de cobertura: Una jeringa de 3,5 gramos contiene suficiente compuesto para cubrir al menos de 15 a 25 núcleos de CPU pequeños, o de 6 a 10 núcleos de CPU grandes, o de 2 a 5 placas de calor. Con una capa de 0.003"" de grosor, la jeringa de 3.5 gramos cubrirá aproximadamente 16 pulgadas cuadradas."
185,e69a0e06-15e6-4089-a39a-341048e45cce,"Tres formas y tamaños únicos de partículas de plata pura para maximizar el área de contacto de partícula a partícula y la transferencia térmica. Contiene más del 88% de relleno termoconductor en peso. Estas partículas cerámicas mejoradas térmicamente mejoran el rendimiento y la estabilidad a largo plazo del compuesto. Asegure el mejor contacto físico entre el disipador térmico y el núcleo de la CPU. No se separa, se ejecuta, no se migra ni se sangra."
291,e69a0e06-15e6-4089-a39a-341048e45cce,15 de marzo de 2022
231,455a3862-c21c-44c8-a574-a1779c653131,Escritorio
98,455a3862-c21c-44c8-a574-a1779c653131,Core i7 de 14.ª generación
126,455a3862-c21c-44c8-a574-a1779c653131,Núcleo i7-14700K
270,455a3862-c21c-44c8-a574-a1779c653131,BX8071514700K
261,455a3862-c21c-44c8-a574-a1779c653131,LGA 1700
363,455a3862-c21c-44c8-a574-a1779c653131,Lago Raptor
72,455a3862-c21c-44c8-a574-a1779c653131,20 núcleos (8P+12E)
300,455a3862-c21c-44c8-a574-a1779c653131,28 hilos
226,455a3862-c21c-44c8-a574-a1779c653131,"Frecuencia base del núcleo de rendimiento: 3,4 GHzFrecuencia base del núcleo eficiente: 2,5 GHz"
69,455a3862-c21c-44c8-a574-a1779c653131,"Tecnología Intel Turbo Boost Max 3.0 Frecuencia: Hasta 5,6 GHzNúcleo P Frecuencia Turbo máxima: Hasta 5,5 GHzFrecuencia turbo máxima de núcleo E: Hasta 4,3 GHz"
122,455a3862-c21c-44c8-a574-a1779c653131,28 MB
67,455a3862-c21c-44c8-a574-a1779c653131,33 MB
348,455a3862-c21c-44c8-a574-a1779c653131,Intel 7
323,455a3862-c21c-44c8-a574-a1779c653131,Sí
176,455a3862-c21c-44c8-a574-a1779c653131,Sí
302,455a3862-c21c-44c8-a574-a1779c653131,DDR4 3200 / DDR5 5600
242,455a3862-c21c-44c8-a574-a1779c653131,Dos
212,455a3862-c21c-44c8-a574-a1779c653131,192 GB
134,455a3862-c21c-44c8-a574-a1779c653131,Soportado
289,455a3862-c21c-44c8-a574-a1779c653131,"89,6 GB/s"
217,455a3862-c21c-44c8-a574-a1779c653131,Sí
93,455a3862-c21c-44c8-a574-a1779c653131,Gráficos Intel UHD 770
166,455a3862-c21c-44c8-a574-a1779c653131,300 MHz
132,455a3862-c21c-44c8-a574-a1779c653131,"1,6 GHz"
139,455a3862-c21c-44c8-a574-a1779c653131,Solo 1S
144,455a3862-c21c-44c8-a574-a1779c653131,5.0 / 4.0
297,455a3862-c21c-44c8-a574-a1779c653131,"Hasta 1x16+4, 2x8+4"
110,455a3862-c21c-44c8-a574-a1779c653131,Veinte
94,455a3862-c21c-44c8-a574-a1779c653131,125 W
233,455a3862-c21c-44c8-a574-a1779c653131,253W
296,455a3862-c21c-44c8-a574-a1779c653131,Dispositivo de enfriamiento no incluido - Solo procesador
240,455a3862-c21c-44c8-a574-a1779c653131,Intel H610 / Intel H670 / Intel B660 / Intel Q670 / Intel W680 / Intel Z690 / Intel H770 / Intel B760 / Intel Z790* Es posible que se requiera una actualización del BIOS cuando se usa con alguna placa base de chipset antigua
223,455a3862-c21c-44c8-a574-a1779c653131,"Linux / Windows 10 (22H2, 21H2) / Windows 11 (22H2, 21H2)"
44,455a3862-c21c-44c8-a574-a1779c653131,"Intel Gaussian & Neural Accelerator: 3.0Intel Thread DirectorIntel Deep Learning Boost (Intel DL Boost) en CPUIntela Speed ShiftTecnología Intel Turbo Boost Max 3.0Tecnología Intel Turbo Boost: 2.0Tecnología Intel Hyper-ThreadingIntel 64Conjunto de instrucciones: 64 bitsExtensiones del conjunto de instrucciones: Intel SSE4.1, Intel SSE4.2, Intel AVX2Estados inactivosIntel SpeedStep mejoradoTecnología IntelTecnologías de monitoreo térmicoDispositivo de administración de volumen Intel (VMD)"
167,455a3862-c21c-44c8-a574-a1779c653131,Intel Standard Manageability (ISM)Intel Control-Flow Enforcement TechnologyIntel AES New InstructionsIntel AES New InstructionsKey SecureIntel OS GuardExecute Disable BitIntel Boot GuardControl de ejecución basado en modo (MBEC)Tecnología de virtualización Intel (VT-x)Tecnología de virtualización Intel para E/S dirigidas (VT-d)Intel VT-x con tablas de páginas extendidas (EPT)
291,455a3862-c21c-44c8-a574-a1779c653131,16 de octubre de 2023
98,f13b562d-2996-4257-b215-a58060702b00,Expansión
270,f13b562d-2996-4257-b215-a58060702b00,STKP14000400
221,f13b562d-2996-4257-b215-a58060702b00,Negro
168,f13b562d-2996-4257-b215-a58060702b00,USB 3.0
190,f13b562d-2996-4257-b215-a58060702b00,14 TB
185,f13b562d-2996-4257-b215-a58060702b00,"La unidad de sobremesa Seagate Expansion proporciona almacenamiento adicional para su creciente colección de archivos. Agregue espacio al instante para más archivos, consolide todos sus archivos en una sola ubicación o libere espacio en la unidad interna de su computadora para ayudar a mejorar el rendimiento. La configuración es sencilla; simplemente conecte la fuente de alimentación incluida y el cable USB, y estará listo para comenzar. Es reconocido automáticamente por el sistema operativo Windows o Mac, por lo que no hay que instalar ningún software ni configurar. Guardar archivos también es fácil: solo arrastra y suelta. Aproveche las rápidas velocidades de transferencia de datos con la interfaz USB 3.0 conectándola a un puerto USB 3.0. Además, Seagate Expansion incluye los servicios de recuperación de datos de rescate para mayor tranquilidad."
155,f13b562d-2996-4257-b215-a58060702b00,"Windows 10 o superior, o sistema operativo Mac OS X 10.12 o superior1,2Puerto USB 3.0 disponible (necesario para velocidades de transferencia USB 3.0)21 Es posible que sea necesario volver a formatear para usar con Time Machine.2 La compatibilidad puede variar según la configuración de hardware y el sistema operativo del usuario."
175,f13b562d-2996-4257-b215-a58060702b00,"4.92"" x 1.65"" x 7.04"""
120,f13b562d-2996-4257-b215-a58060702b00,2.59 libras.
281,f13b562d-2996-4257-b215-a58060702b00,"Disco duro de sobremesa Seagate ExpansionCable USB 3.0 de 18 pulgadas (45,72 cm)Adaptador de corriente de 18 Wicia de inicio rápidoServicios de recuperación de datos de Rescue3Software de copia de seguridad del kit de herramientas3 Los servicios de recuperación de datos de Rescue no están disponibles en todos los países."
291,f13b562d-2996-4257-b215-a58060702b00,13 de mayo de 2021
231,8e59fb85-391b-43f5-93b6-89cae2b92c55,Escritorio
98,8e59fb85-391b-43f5-93b6-89cae2b92c55,Serie Ryzen 5 7000
126,8e59fb85-391b-43f5-93b6-89cae2b92c55,Ryzen 5 7600X
270,8e59fb85-391b-43f5-93b6-89cae2b92c55,100-100000593WOF
261,8e59fb85-391b-43f5-93b6-89cae2b92c55,Zócalo AM5
72,8e59fb85-391b-43f5-93b6-89cae2b92c55,6 núcleos
300,8e59fb85-391b-43f5-93b6-89cae2b92c55,12 hilos
226,8e59fb85-391b-43f5-93b6-89cae2b92c55,"4,7 GHz"
69,8e59fb85-391b-43f5-93b6-89cae2b92c55,"Hasta 5,3 GHz"
322,8e59fb85-391b-43f5-93b6-89cae2b92c55,384KB
122,8e59fb85-391b-43f5-93b6-89cae2b92c55,6 MB
67,8e59fb85-391b-43f5-93b6-89cae2b92c55,32 MB
348,8e59fb85-391b-43f5-93b6-89cae2b92c55,Zen 4 - TSMC FinFET de 5 nm
302,8e59fb85-391b-43f5-93b6-89cae2b92c55,DDR5 5200
242,8e59fb85-391b-43f5-93b6-89cae2b92c55,Dos
212,8e59fb85-391b-43f5-93b6-89cae2b92c55,128 GB
134,8e59fb85-391b-43f5-93b6-89cae2b92c55,Soportado
93,8e59fb85-391b-43f5-93b6-89cae2b92c55,Tarjeta gráfica AMD Radeon
166,8e59fb85-391b-43f5-93b6-89cae2b92c55,2200 MHz
144,8e59fb85-391b-43f5-93b6-89cae2b92c55,5.0 / 4.0 / 3.0
94,8e59fb85-391b-43f5-93b6-89cae2b92c55,105 W
296,8e59fb85-391b-43f5-93b6-89cae2b92c55,Dispositivo de enfriamiento no incluido - Solo procesador
223,8e59fb85-391b-43f5-93b6-89cae2b92c55,Windows 11
291,8e59fb85-391b-43f5-93b6-89cae2b92c55,"septiembre 27, 2022"
98,4d6bb42a-186f-4052-aeb9-11e39399b1f3,RM750e
270,4d6bb42a-186f-4052-aeb9-11e39399b1f3,CP-9020262-NA
221,4d6bb42a-186f-4052-aeb9-11e39399b1f3,Negro
292,4d6bb42a-186f-4052-aeb9-11e39399b1f3,ATX / ATX (Compatible con ATX 3.0)
264,4d6bb42a-186f-4052-aeb9-11e39399b1f3,750 W
164,4d6bb42a-186f-4052-aeb9-11e39399b1f3,1 ventilador de cojinete de rifle de 120 mm
379,4d6bb42a-186f-4052-aeb9-11e39399b1f3,24 PINES
301,4d6bb42a-186f-4052-aeb9-11e39399b1f3,3 x 6+2 pines
29,4d6bb42a-186f-4052-aeb9-11e39399b1f3,Siete
253,4d6bb42a-186f-4052-aeb9-11e39399b1f3,151 milímetros
216,4d6bb42a-186f-4052-aeb9-11e39399b1f3,Modular completo
362,4d6bb42a-186f-4052-aeb9-11e39399b1f3,Certificación 80 PLUS GOLD
193,4d6bb42a-186f-4052-aeb9-11e39399b1f3,Cybenetics Estándar +
375,4d6bb42a-186f-4052-aeb9-11e39399b1f3,100 - 240 V
311,4d6bb42a-186f-4052-aeb9-11e39399b1f3,47 - 63 Hz
50,4d6bb42a-186f-4052-aeb9-11e39399b1f3,10A-5A
365,4d6bb42a-186f-4052-aeb9-11e39399b1f3,"+3.3V@20A, +5V@20A, +12V@62.5A, +5VSB@3A"
308,4d6bb42a-186f-4052-aeb9-11e39399b1f3,1 x ATX de 24 pines (24 pines) 2 x ATX 12V/EPS12V (4+4 pines) 3 x PCIe (6+2) 7 x SATA 4 x PATA
7,4d6bb42a-186f-4052-aeb9-11e39399b1f3,1 x Cable ATX Modular (24-PIN) (24): Un cable (610 mm)2 x Cable Modular EPS/ATX12V (8 PIN) (4+4): Un cable (650 mm)1 x Cable PCIe modular (8 pines) (6+2)/(6+2): Dos cables (750 mm) 1 x Cable PCIe modular (8 pines) (6+2): Un cable (600 mm)1 x Cable SATA modular (3 SATA) (recto):   Tres cables (700 mm)1 x Cable SATA modular (4 SATA) (ángulo recto): Cuatro cables (800 mm)1 x Cable PATA modular (4 PATA): Cuatro cables (750 mm)
185,4d6bb42a-186f-4052-aeb9-11e39399b1f3,"Fully Modular PSU: Reliable and efficient low-noise power supply with fully modular cabling, so you only have to connect the cables your system build needs.Intel® ATX 3.0 Certified: Compliant with the ATX 3.0 power standard, supporting the PCIe Gen 5 platform and resisting transient power spikes.Keeps Quiet: A 120mm rifle bearing fan with a specially calculated fan curve keeps fan noise down, even when operating at full load.105°C-Rated Capacitors: Delivers steady, reliable power and dependable electrical performance.Modern Standby Compatible: Extremely fast wake-from-sleep times and better low-load efficiency.80 PLUS Gold-Certified: Steady power output at up to 90% efficiency, and Cybenetics Platinum certified for lower power consumption, less noise, and cooler temperatures.Zero RPM Fan Mode: For near-silent operation at lower loads.The Right Fit: Compact 140mm-long casing ensures an easy fit in modern enthusiast PC cases.Resonant LLC Topology with DC-to-DC Conversion: Provides clean, consistent power and enables use of more energy-efficient sleep states."
175,4d6bb42a-186f-4052-aeb9-11e39399b1f3,"5.91""*5.51""*3.35"""
120,4d6bb42a-186f-4052-aeb9-11e39399b1f3,3.27 libras
291,4d6bb42a-186f-4052-aeb9-11e39399b1f3,09 de marzo de 2023
98,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,RM850e
270,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,CP-9020263-NA
221,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,Negro
292,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,ATX
264,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,850 W
164,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,1 ventilador de cojinete de rifle de 120 mm
379,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,24 PINES
301,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,3 x 6+2 pines
29,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,Siete
253,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,151 milímetros
216,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,Modular completo
362,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,Certificación 80 PLUS GOLD
193,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,Cybenetics A-
375,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,100 - 240 V
311,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,47 - 63 Hz
50,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,10A-5A
365,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,"+3.3V@20A, +5V@20A, +12V@70.8A, +5VSB@3A"
308,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,1 x ATX de 24 pines (24 pines) 2 x ATX 12V/EPS12V (4+4 pines) 3 x PCIe (6+2) 7 x SATA 4 x PATA
7,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,1 x Cable ATX Modular (24-PIN) (24): Un cable (610 mm)2 x Cable Modular EPS/ATX12V (8 PIN) (4+4): Un cable (650 mm)1 x Cable PCIe Modular (8 PINES) (6+2)/(6+2): Dos cables (750 mm) 1 x Cable PCIe Modular (8 PIN) (6+2): Un cable (600 mm)1 x Cable SATA Modular (3 SATA) (recto):  Tres cables (700 mm)1 x Cable SATA modular (4 SATA) (ángulo recto): Cuatro cables (800 mm)1 x Cable PATA modular (4 PATA): Cuatro cables (750 mm)
185,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,"Fully Modular PSU: Reliable and efficient low-noise power supply with fully modular cabling, so you only have to connect the cables your system build needs.Intel® ATX 3.0 Certified: Compliant with the ATX 3.0 power standard, supporting the PCIe Gen 5 platform and resisting transient power spikes.Keeps Quiet: A 120mm rifle bearing fan with a specially calculated fan curve keeps fan noise down, even when operating at full load.105°C-Rated Capacitors: Delivers steady, reliable power and dependable electrical performance.Modern Standby Compatible: Extremely fast wake-from-sleep times and better low-load efficiency.80 PLUS Gold-Certified: Steady power output at up to 90% efficiency, and Cybenetics Platinum certified for lower power consumption, less noise, and cooler temperatures.Zero RPM Fan Mode: For near-silent operation at lower loads.The Right Fit: Compact 140mm-long casing ensures an easy fit in modern enthusiast PC cases.Resonant LLC Topology with DC-to-DC Conversion: Provides clean, consistent power and enables use of more energy-efficient sleep states."
175,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,"5.91*5.51*3.39"""
120,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,3.4 libras
291,92d27cff-ee8f-4496-a5d0-b1033e2bc6d2,09 de marzo de 2023
98,6503a420-e6da-40cd-9c0b-c17626b9298b,990 PRO
270,6503a420-e6da-40cd-9c0b-c17626b9298b,MZ-V9P1T0B/AM
356,6503a420-e6da-40cd-9c0b-c17626b9298b,Unidad interna de estado sólido (SSD)
88,6503a420-e6da-40cd-9c0b-c17626b9298b,Consumidor
138,6503a420-e6da-40cd-9c0b-c17626b9298b,M.2 2280
190,6503a420-e6da-40cd-9c0b-c17626b9298b,1 TB
384,6503a420-e6da-40cd-9c0b-c17626b9298b,V7 V-NAND MLC de 3 bits
168,6503a420-e6da-40cd-9c0b-c17626b9298b,"PCIe Gen 4.0 x4, NVMe 2.0"
